method,FEM,Corr,Corr,Mult3,Mult3,Mult100,Mult100
type,error,error,facteurs,error,facteurs,error,facteurs
16,9.42e-02,5.78e-04,163,1.16e-03,81,5.78e-04,163
32,2.26e-02,1.41e-04,160,2.93e-04,77,1.41e-04,160
64,5.51e-03,3.47e-05,159,7.21e-05,76,3.47e-05,159
128,1.36e-03,8.59e-06,158,1.78e-05,76,8.60e-06,158
256,3.37e-04,2.13e-06,158,4.43e-06,76,2.14e-06,158
