method,Corr,Corr
n_vert,20,40
h,0.07,0.04
0,0.1267775236674969,0.043693672197940604
1,0.06969458162994807,0.020917059112199318
2,0.12103742051219782,0.040926955698303596
3,0.06995982291301246,0.020494732126842465
4,0.15343928197543796,0.05685375368949924
5,0.06503573143627285,0.018989128499178783
6,0.06608486953097013,0.019358138428609187
7,0.08059456948893916,0.024620900151539563
8,0.10439429371319395,0.0345164984143191
9,0.1338487356061563,0.046654582698751675
10,0.07547376739501348,0.02283125505297731
11,0.08443446238339618,0.025863722469827013
12,0.06810687325572887,0.01999218027405531
13,0.06922367777719533,0.020689311304347858
14,0.0568296863272384,0.01604112697856686
15,0.06962878209818141,0.02072362207396218
16,0.14953186479262173,0.05425447498112263
17,0.09991534600360939,0.032173974219525406
18,0.06391792514280115,0.018386804951788953
19,0.12229749867042307,0.0416184838050478
20,0.08022886818478805,0.024221079596646662
21,0.1547919479382638,0.057317355979348436
22,0.1076690053529995,0.03500870871707907
23,0.15746354052482256,0.05849069856330252
24,0.0707754194892087,0.021136271784368627
25,0.11839167000284169,0.03993990062559028
26,0.12475810318680199,0.04366075110777556
27,0.06623050002246748,0.01961278285513804
28,0.07075848595209046,0.0209630731527897
29,0.1766736633944521,0.06866966145352402
30,0.12886772818017933,0.04459812976476794
31,0.08037872985892479,0.02469272697311594
32,0.09440051787876834,0.030470665534558718
33,0.12536457000020393,0.04358095928315615
34,0.0619284538383173,0.017900986611726902
35,0.07777632921721911,0.02356921241250191
36,0.08327825792980836,0.025655011245285422
37,0.07840996024244501,0.02373821184560005
38,0.06826923021376373,0.02005226783231425
39,0.10892876679131673,0.036066366909090375
40,0.08805501796105158,0.027228994846027935
41,0.12806149536839223,0.044683648231388234
42,0.1306823496138181,0.04571026033842849
43,0.055307921217898,0.015521802782254466
44,0.06548898172804941,0.0190141309334458
45,0.08427731857855722,0.02591335525847729
46,0.1376059284014829,0.04956810799596492
47,0.10578464881635453,0.03419136865118065
48,0.144421582043716,0.05193483074474662
49,0.08312848886811708,0.025257915019689933
